kernel,gsize,device,input_bytes,output_bytes,samples,device_mean,device_median,device_var,hostcode_mean,hostcode_median,hostcode_var,transfer_mean,transfer_median,transfer_var
amd-app-sdk-3.0-BinomialOption-binomial_options,1000,GeForceGTX,48004,48000,200,0.04612128,0.010239999999999999,0.0025810448342016,0.2970421314239502,0.26226043701171875,0.007092759902604939,0.2509208514239502,0.24166681024169923,0.004545716764547018
amd-app-sdk-3.0-BinomialOption-binomial_options,1000,IntelXeonCPU,48004,48000,200,0.224228045,0.156164,0.017971763064202975,0.3511059284210205,0.25975704193115234,0.04777098064181473,0.12687788342102052,0.09990432330322267,0.028324031111043667
amd-app-sdk-3.0-PrefixSum-group_prefixSum,1000,GeForceGTX,8008,8000,200,0.010761119999999999,0.010943999999999999,8.314611455999999e-07,0.3030204772949219,0.2491474151611328,0.1510011201389716,0.29225935729492186,0.23870662445068358,0.15088828634132812
amd-app-sdk-3.0-PrefixSum-group_prefixSum,1000,IntelXeonCPU,8008,8000,200,0.0963491,0.10066049999999999,0.0006692761517099999,0.20296216011047363,0.2008676528930664,0.0028842136870821378,0.10661306011047364,0.09468593157958985,0.0018472955398095173
amd-app-sdk-3.0-Reduction-reduce,1000,GeForceGTX,32000,32000,200,0.010180159999999999,0.010239999999999999,3.751353343999999e-07,0.24076104164123535,0.23555755615234375,0.0017155363352117092,0.23058088164123536,0.22531755615234375,0.0016865625211137359
amd-app-sdk-3.0-Reduction-reduce,1000,IntelXeonCPU,32000,32000,200,0.081461225,0.0820185,0.000514895736864375,0.16884207725524902,0.16927719116210938,0.0020959654634111757,0.08738085225524903,0.08345028295898438,0.0013188160525585517
amd-app-sdk-3.0-Reduction-reduce,3000,GeForceGTX,96000,96000,200,0.00924256,0.00912,5.2019006464e-06,0.3152799606323242,0.2541542053222656,0.11513532886056055,0.3060374006323242,0.24513020532226562,0.11415060919748625
amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays,1000,GeForceGTX,8004,12000,200,0.01000368,0.010112,4.6306997759999965e-07,0.32189249992370605,0.24950504302978516,0.16197952230498913,0.31188881992370604,0.23965783374023436,0.16185882693876372
amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays,3000,GeForceGTX,24004,36000,200,0.01119504,0.011264,1.5201187583999998e-06,0.35487890243530273,0.25844573974609375,0.21492718184958903,0.34368386243530274,0.2471673211669922,0.21479878722149073
amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays,5000,GeForceGTX,40004,60000,200,0.0110104,0.011072,2.2171744e-06,0.32568931579589844,0.2614259719848633,0.14207504696059914,0.31467891579589846,0.25063880914306635,0.14131725754320226
amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays,7000,GeForceGTX,56004,84000,200,0.01185136,0.011968,1.1257538304e-06,0.33870935440063477,0.2695322036743164,0.16408825374014668,0.3268579944006348,0.2576369943847656,0.16397592583110476
amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays,9000,GeForceGTX,72004,108000,200,0.015124799999999999,0.015168,4.877145599999999e-06,0.28946876525878906,0.28514862060546875,0.00209867866942659,0.27434396525878907,0.2703765741577149,0.002060040769860574
amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays,11000,GeForceGTX,88004,132000,200,0.01804768,0.01832,2.0624075776e-06,0.3530538082122803,0.2799034118652344,0.23223145153536962,0.33500612821228026,0.2619482490234375,0.2315995360048674
amd-app-sdk-3.0-ScanLargeArrays-blockAddition,1000,GeForceGTX,8000,4000,200,0.010615999999999999,0.0104,3.219840000000001e-07,0.20932555198669434,0.20682811737060547,0.0004247553064828935,0.19870955198669435,0.1964689080810547,0.00041619936461009084
amd-app-sdk-3.0-ScanLargeArrays-blockAddition,1000,IntelXeonCPU,8000,4000,200,0.05734455,0.0498555,0.0005011278856575,0.12330174446105957,0.12028217315673828,0.0015513488605733983,0.06595719446105958,0.05993202178955079,0.0007717440266903023
amd-app-sdk-3.0-ScanLargeArrays-blockAddition,3000,GeForceGTX,24000,12000,200,0.00964816,0.009216,8.803942374399998e-06,0.2741098403930664,0.21266937255859375,0.1318553154305846,0.2644616803930664,0.20338620971679688,0.1311662931934546
amd-app-sdk-3.0-ScanLargeArrays-blockAddition,3000,IntelXeonCPU,24000,12000,200,0.060367559999999994,0.0586185,0.00046561465321639996,0.1281905174255371,0.1266002655029297,0.0013579762651261262,0.06782295742553711,0.06310364038085937,0.0007384786852759675
amd-app-sdk-3.0-ScanLargeArrays-blockAddition,5000,GeForceGTX,40000,20000,200,0.008968799999999999,0.009056,7.704057599999998e-07,0.29584765434265137,0.2180337905883789,0.18201009989837758,0.28687885434265137,0.20918174414062501,0.18182331316950928
amd-app-sdk-3.0-ScanLargeArrays-blockAddition,5000,IntelXeonCPU,40000,20000,200,0.0678508,0.07151849999999998,0.0005364441261499999,0.13651132583618164,0.13494491577148438,0.0018519509183079208,0.06866052583618164,0.061718509216308594,0.001174697556626805
amd-app-sdk-3.0-ScanLargeArrays-blockAddition,7000,GeForceGTX,56000,28000,200,0.00881296,0.008896,3.4888803840000006e-07,0.25930285453796387,0.22101402282714844,0.06110294356034274,0.2504898945379639,0.21219081353759767,0.06106532562060709
