"kernel","gsize","device","input_bytes","output_bytes","samples","device_mean","device_median","device_var","hostcode_mean","hostcode_median","hostcode_var","transfer_mean","transfer_median","transfer_var","machine"
"amd-app-sdk-3.0-BinomialOption-binomial_options","1000","GeForceGTX","48004","48000","200","0.04612128","0.0102399999999999","0.0025810448342016","0.2970421314239502","0.2622604370117187","0.0070927599026049","0.2509208514239502","0.2416668102416992","0.004545716764547","gold2"
"amd-app-sdk-3.0-PrefixSum-group_prefixSum","1000","GeForceGTX","8008","8000","200","0.0107611199999999","0.0109439999999999","8.314611455999999e-07","0.3030204772949219","0.2491474151611328","0.1510011201389716","0.2922593572949218","0.2387066244506835","0.1508882863413281","gold2"
"amd-app-sdk-3.0-Reduction-reduce","1000","GeForceGTX","32000","32000","200","0.0101801599999999","0.0102399999999999","3.751353343999999e-07","0.2407610416412353","0.2355575561523437","0.0017155363352117","0.2305808816412353","0.2253175561523437","0.0016865625211137","gold2"
"amd-app-sdk-3.0-Reduction-reduce","3000","GeForceGTX","96000","96000","200","0.00924256","0.00912","5.2019006464e-06","0.3152799606323242","0.2541542053222656","0.1151353288605605","0.3060374006323242","0.2451302053222656","0.1141506091974862","gold2"
"amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays","1000","GeForceGTX","8004","12000","200","0.01000368","0.010112","4.630699775999997e-07","0.321892499923706","0.2495050430297851","0.1619795223049891","0.311888819923706","0.2396578337402343","0.1618588269387637","gold2"
"amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays","3000","GeForceGTX","24004","36000","200","0.01119504","0.011264","1.5201187583999998e-06","0.3548789024353027","0.2584457397460937","0.214927181849589","0.3436838624353027","0.2471673211669922","0.2147987872214907","gold2"
"amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays","5000","GeForceGTX","40004","60000","200","0.0110104","0.011072","2.2171744e-06","0.3256893157958984","0.2614259719848633","0.1420750469605991","0.3146789157958984","0.2506388091430663","0.1413172575432022","gold2"
"amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays","7000","GeForceGTX","56004","84000","200","0.01185136","0.011968","1.1257538304e-06","0.3387093544006347","0.2695322036743164","0.1640882537401466","0.3268579944006348","0.2576369943847656","0.1639759258311047","gold2"
"amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays","9000","GeForceGTX","72004","108000","200","0.0151247999999999","0.015168","4.877145599999999e-06","0.289468765258789","0.2851486206054687","0.0020986786694265","0.274343965258789","0.2703765741577149","0.0020600407698605","gold2"
"amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays","11000","GeForceGTX","88004","132000","200","0.01804768","0.01832","2.0624075776e-06","0.3530538082122803","0.2799034118652344","0.2322314515353696","0.3350061282122802","0.2619482490234375","0.2315995360048674","gold2"
"amd-app-sdk-3.0-ScanLargeArrays-blockAddition","1000","GeForceGTX","8000","4000","200","0.0106159999999999","0.0104","3.219840000000001e-07","0.2093255519866943","0.2068281173706054","0.0004247553064828","0.1987095519866943","0.1964689080810547","0.00041619936461","gold2"
"amd-app-sdk-3.0-ScanLargeArrays-blockAddition","3000","GeForceGTX","24000","12000","200","0.00964816","0.009216","8.803942374399998e-06","0.2741098403930664","0.2126693725585937","0.1318553154305846","0.2644616803930664","0.2033862097167968","0.1311662931934546","gold2"
"amd-app-sdk-3.0-ScanLargeArrays-blockAddition","5000","GeForceGTX","40000","20000","200","0.0089687999999999","0.009056","7.704057599999998e-07","0.2958476543426513","0.2180337905883789","0.1820100998983775","0.2868788543426513","0.209181744140625","0.1818233131695092","gold2"
"amd-app-sdk-3.0-ScanLargeArrays-blockAddition","7000","GeForceGTX","56000","28000","200","0.00881296","0.008896","3.488880384000001e-07","0.2593028545379638","0.2210140228271484","0.0611029435603427","0.2504898945379639","0.2121908135375976","0.061065325620607","gold2"
"amd-app-sdk-3.0-ScanLargeArrays-blockAddition","9000","GeForceGTX","72000","36000","200","0.0087744","0.008544","1.0475212799999998e-06","0.2537310123443603","0.2248287200927734","0.0474645477410717","0.2449566123443603","0.2161247200927734","0.0471762508562238","gold2"
"amd-app-sdk-3.0-ScanLargeArrays-blockAddition","11000","GeForceGTX","88000","44000","200","0.00894832","0.0085919999999999","1.8277701376e-06","0.275733470916748","0.2276897430419922","0.1265978113394794","0.266785150916748","0.219020905883789","0.1264986346059854","gold2"
"amd-app-sdk-3.0-ScanLargeArrays-blockAddition","13000","GeForceGTX","104000","52000","200","0.0089552","0.0090239999999999","3.9815936e-07","0.2767586708068847","0.2321004867553711","0.1453230978484043","0.2678034708068847","0.2232829053344726","0.144988825422132","gold2"
"amd-app-sdk-3.0-ScanLargeArrays-blockAddition","15000","GeForceGTX","120000","60000","200","0.00889872","0.008896","9.521231615999998e-07","0.292586088180542","0.2324581146240234","0.1050994471242461","0.2836873681805419","0.223816533203125","0.1049276602425096","gold2"
"amd-app-sdk-3.0-ScanLargeArrays-blockAddition","17000","GeForceGTX","136000","68000","200","0.00971936","0.009488","7.049288703999997e-07","0.2879941463470459","0.2419948577880859","0.1141488457264472","0.2782747863470459","0.232519694946289","0.1140533545577529","gold2"
"amd-app-sdk-3.0-ScanLargeArrays-blockAddition","19000","GeForceGTX","152000","76000","200","0.0097752","0.0093119999999999","8.056032639999999e-06","0.2695357799530029","0.2412796020507812","0.0447475286918575","0.2597605799530029","0.2318251834716796","0.0440223628254649","gold2"
