"kernel","gsize","device","input_bytes","output_bytes","device_mean","transfer_mean","machine","hostcode_mean","devicetransfer"
"amd-app-sdk-3.0-SobelFilter-sobel_filter","13000","GeForceGTX","52000","52000","0.00909536","0.2518180120397949","gold2","0.2609133720397949","0.2609133720397949"
"amd-app-sdk-3.0-SobelFilter-sobel_filter","15000","GeForceGTX","60000","60000","0.00898704","0.260337739510498","gold2","0.269324779510498","0.269324779510498"
"amd-app-sdk-3.0-SobelFilter-sobel_filter","17000","GeForceGTX","68000","68000","0.00983584","0.2481318704949951","gold2","0.2579677104949951","0.2579677104949951"
"amd-app-sdk-3.0-SobelFilter-sobel_filter","19000","GeForceGTX","76000","76000","0.01049056","0.288581705625","gold2","0.299072265625","0.299072265625"
"npb-3.3-BT-add","1000","GeForceGTX","16012","8000","0.0107272","0.2168194918945312","gold2","0.2275466918945312","0.2275466918945312"
"npb-3.3-BT-add","3000","GeForceGTX","48012","24000","0.0090243199999999","0.2191994806591796","gold2","0.2282238006591797","0.2282238006591795"
"npb-3.3-BT-add","5000","GeForceGTX","80012","40000","0.0095334399999999","0.3065833698449707","gold2","0.3161168098449707","0.3161168098449706"
"npb-3.3-BT-add","7000","GeForceGTX","112012","56000","0.00910208","0.3284700177783203","gold2","0.3375720977783203","0.3375720977783203"
"npb-3.3-BT-add","9000","GeForceGTX","144012","72000","0.01050192","0.2687649142590332","gold2","0.2792668342590332","0.2792668342590332"
"npb-3.3-BT-add","11000","GeForceGTX","176012","88000","0.0101","0.3235203098297119","gold2","0.3336203098297119","0.3336203098297119"
"npb-3.3-BT-add","13000","GeForceGTX","208012","104000","0.00857104","0.3272451049432373","gold2","0.3358161449432373","0.33581614494323725"
"npb-3.3-BT-add","15000","GeForceGTX","240012","120000","0.0077344","0.2819227159362793","gold2","0.2896571159362793","0.2896571159362793"
"npb-3.3-BT-add","17000","GeForceGTX","272012","136000","0.00571776","0.3499109688665771","gold2","0.3556287288665771","0.3556287288665771"
"npb-3.3-BT-add","19000","GeForceGTX","304012","152000","0.00555824","0.3095679406488037","gold2","0.3151261806488037","0.3151261806488037"
"npb-3.3-BT-compute_rhs1","1000","GeForceGTX","8012","48000","0.0107929599999999","0.2849605190039062","gold2","0.2957534790039062","0.2957534790039061"
"npb-3.3-BT-compute_rhs1","3000","GeForceGTX","24012","144000","0.0097048","0.340867070803833","gold2","0.350571870803833","0.350571870803833"
"npb-3.3-BT-compute_rhs1","5000","GeForceGTX","40012","240000","0.00915888","0.3283047373248291","gold2","0.3374636173248291","0.3374636173248291"
"npb-3.3-BT-compute_rhs1","7000","GeForceGTX","56012","336000","0.00912384","0.4658989528161621","gold2","0.4750227928161621","0.4750227928161621"
"npb-3.3-BT-compute_rhs1","9000","GeForceGTX","72012","432000","0.01027136","0.4442498191992187","gold2","0.4545211791992187","0.4545211791992187"
"npb-3.3-BT-compute_rhs1","11000","GeForceGTX","88012","528000","0.0097888","0.4244942181121826","gold2","0.4342830181121826","0.43428301811218256"
"npb-3.3-BT-compute_rhs1","13000","GeForceGTX","104012","624000","0.00948304","0.5067420595635986","gold2","0.5162250995635986","0.5162250995635986"
