"kernel","gsize","device","input_bytes","output_bytes","samples","device_mean","device_median","device_var","hostcode_mean","hostcode_median","hostcode_var","transfer_mean","transfer_median","transfer_var","machine"
"amd-app-sdk-3.0-BinomialOption-binomial_options","1000","IntelXeonCPU","48004","48000","200","0.224228045","0.156164","0.0179717630642029","0.3511059284210205","0.2597570419311523","0.0477709806418147","0.1268778834210205","0.0999043233032226","0.0283240311110436","gold2"
"amd-app-sdk-3.0-PrefixSum-group_prefixSum","1000","IntelXeonCPU","8008","8000","200","0.0963491","0.1006604999999999","0.0006692761517099","0.2029621601104736","0.2008676528930664","0.0028842136870821","0.1066130601104736","0.0946859315795898","0.0018472955398095","gold2"
"amd-app-sdk-3.0-Reduction-reduce","1000","IntelXeonCPU","32000","32000","200","0.081461225","0.0820185","0.0005148957368643","0.168842077255249","0.1692771911621093","0.0020959654634111","0.087380852255249","0.0834502829589843","0.0013188160525585","gold2"
"amd-app-sdk-3.0-ScanLargeArrays-blockAddition","1000","IntelXeonCPU","8000","4000","200","0.05734455","0.0498555","0.0005011278856575","0.1233017444610595","0.1202821731567382","0.0015513488605733","0.0659571944610595","0.0599320217895507","0.0007717440266903","gold2"
"amd-app-sdk-3.0-ScanLargeArrays-blockAddition","3000","IntelXeonCPU","24000","12000","200","0.0603675599999999","0.0586185","0.0004656146532163","0.1281905174255371","0.1266002655029297","0.0013579762651261","0.0678229574255371","0.0631036403808593","0.0007384786852759","gold2"
"amd-app-sdk-3.0-ScanLargeArrays-blockAddition","5000","IntelXeonCPU","40000","20000","200","0.0678508","0.0715184999999999","0.0005364441261499","0.1365113258361816","0.1349449157714843","0.0018519509183079","0.0686605258361816","0.0617185092163085","0.0011746975566268","gold2"
"amd-app-sdk-3.0-ScanLargeArrays-blockAddition","7000","IntelXeonCPU","56000","28000","200","0.086635855","0.0881935","0.0004138256023939","0.1610505580902099","0.1553297042846679","0.0013729015776675","0.0744147030902099","0.0640928469238281","0.0009826460825659","gold2"
"amd-app-sdk-3.0-ScanLargeArrays-blockAddition","9000","IntelXeonCPU","72000","36000","200","0.096337075","0.094869","0.0015625893290893","0.1869761943817138","0.1577138900756836","0.034605172901081","0.0906391193817138","0.0619528327026367","0.0285603599973446","gold2"
"amd-app-sdk-3.0-ScanLargeArrays-blockAddition","11000","IntelXeonCPU","88000","44000","200","0.10384401","0.1035825","0.0002734528432698","0.1681911945343017","0.1680850982666015","0.0005840733464879","0.0643471845343017","0.0625009589233398","0.0002500153772129","gold2"
"amd-app-sdk-3.0-ScanLargeArrays-blockAddition","13000","IntelXeonCPU","104000","52000","200","0.1126638899999999","0.1136995","0.0003331875477179","0.1769518852233886","0.1773834228515625","0.0005669024801591","0.0642879952233886","0.0625071534423828","0.0002577562910281","gold2"
