kernel,gsize,device,input_bytes,output_bytes,samples,device_mean,device_median,device_var,hostcode_mean,hostcode_median,hostcode_var,transfer_mean,transfer_median,transfer_var
amd-app-sdk-3.0-SimpleConvolution-simpleNonSeparableConvolution,100,CPU,820,400,200,1.27022105,0.9938384999999998,1.0546654131495974,1.540968418121338,1.1930465698242188,3.0062579904722497,0.270747368121338,0.1599909589233399,1.9863691238960575
amd-app-sdk-3.0-SimpleConvolution-simpleNonSeparableConvolution,200,CPU,1620,800,200,5.96107165,4.941548,22.860070628517736,7.092523574829102,5.119681358337402,209.02042651357533,1.131451924829102,0.14861292437744122,180.43906496893158
amd-app-sdk-3.0-SimpleConvolution-simpleNonSeparableConvolution,300,CPU,2420,1200,200,14.050330825,12.4999985,110.0886206486041,14.421238899230957,12.751102447509766,119.59499373951985,0.3709080742309578,0.19744337359619202,5.4625727388656
amd-app-sdk-3.0-SimpleConvolution-simpleNonSeparableConvolution,600,CPU,4820,2400,200,94.60620238,78.45476249999999,5082.557333723747,94.8871397972107,78.79936695098877,5084.574352519548,0.28093741721069765,0.28704697369384746,0.04602772547622911
npb-3.3-BT-rhs_norm,100,CPU,1612,1600,200,0.719719605,0.5025584999999999,0.33206779415429893,0.9325182437896729,0.6947517395019531,0.4110939906226463,0.2127986387896729,0.18542199877929694,0.06378369274800554
npb-3.3-CG-conj_grad_0,100,CPU,800,3200,200,0.587309875,0.40599799999999997,0.26443711037535933,0.9278690814971924,0.5731582641601562,6.716758773551135,0.3405592064971924,0.15418723248291016,6.4408621844137155
npb-3.3-CG-conj_grad_0,200,CPU,1600,6400,200,0.6562751,0.46569249999999995,0.28047511016690996,0.8298265933990479,0.6172657012939453,0.3203969008595209,0.17355149339904788,0.1528855820922852,0.051557304769802845
npb-3.3-CG-conj_grad_0,300,CPU,2400,9600,200,0.549505845,0.3917775,0.23789499577091094,0.853503942489624,0.5441904067993164,5.167127605658095,0.30399809748962403,0.1374427191772461,5.017398413109549
npb-3.3-CG-conj_grad_0,400,CPU,3200,12800,200,0.552042025,0.4183185,0.18623768175211436,0.7238268852233887,0.5642175674438477,0.262520087375151,0.17178486022338868,0.14372500061035165,0.06134939745880736
npb-3.3-CG-conj_grad_0,500,CPU,4000,16000,200,0.5718512849999999,0.39422349999999995,0.2588338012546437,0.7278227806091309,0.5303621292114258,0.2979707872952986,0.1559714956091309,0.13209775329589843,0.049946590082187034
npb-3.3-CG-conj_grad_0,600,CPU,4800,19200,200,0.6348589099999999,0.46597599999999995,0.2731094474264219,0.956946611404419,0.6080865859985352,5.371857591818241,0.32208770140441895,0.15084154650878903,5.187234895511042
npb-3.3-CG-conj_grad_0,700,CPU,5600,22400,200,0.55842898,0.435059,0.15707047978576957,0.7294845581054688,0.5946159362792969,0.19700035452387965,0.1710555781054688,0.14769879199218752,0.054568926139139905
npb-3.3-CG-conj_grad_0,800,CPU,6400,25600,200,0.5476702999999999,0.415597,0.18929574165130997,0.7084345817565918,0.5539655685424805,0.2330128340815918,0.16076428175659183,0.1273656477661133,0.05224659264917681
npb-3.3-CG-conj_grad_0,900,CPU,7200,28800,200,0.550608835,0.4108695,0.2620219402165678,0.736701488494873,0.5519390106201172,0.6145743979857343,0.18609265349487306,0.1263182937011719,0.39128748604864316
npb-3.3-CG-init_mem_0,100,CPU,4,400,200,0.58327003,0.399313,0.30707377884712905,0.8410203456878662,0.5815029144287109,1.6762967697999898,0.2577503156878662,0.16318943908691408,1.4333655281192075
npb-3.3-CG-init_mem_0,200,CPU,4,800,200,0.49993474,0.3616485,0.16560469344522238,0.7247185707092285,0.5176067352294922,0.9948739178696542,0.22478383070922855,0.14758822509765623,0.8572686417731362
npb-3.3-CG-init_mem_0,300,CPU,4,1200,200,0.522032085,0.3691365,0.20190035548155777,0.6914818286895752,0.5180835723876953,0.25222427915281287,0.16944974368957522,0.14358533575439456,0.05767904419038996
npb-3.3-CG-init_mem_0,400,CPU,4,1600,200,0.570784595,0.3867055,0.300603549804101,0.7421398162841797,0.5408525466918945,0.3424275429551926,0.1713552212841797,0.14205914837646486,0.0582326567266169
npb-3.3-CG-init_mem_0,500,CPU,4,2000,200,0.5377178499999999,0.4206415,0.22412331328424748,0.7471716403961182,0.5886554718017578,0.5513246473341837,0.2094537903961182,0.15676103790283205,0.34986381723027915
npb-3.3-CG-init_mem_0,600,CPU,4,2400,200,0.5561400599999999,0.42793099999999995,0.21657415655978637,0.8651399612426758,0.6043910980224609,3.938103523319114,0.3089999012426758,0.16065443634033205,3.806341572443484
npb-3.3-CG-init_mem_0,700,CPU,4,2800,200,0.588551135,0.435666,0.24735857965061675,0.7756698131561279,0.6068944931030273,0.29641166116647355,0.18711867815612795,0.15830701263427738,0.06523834499042873
npb-3.3-CG-init_mem_0,800,CPU,4,3200,200,0.513852395,0.38646199999999997,0.22004500828652895,0.6802845001220703,0.5383491516113281,0.2535833890306094,0.16643210512207032,0.14174189208984384,0.04881461376277513
npb-3.3-CG-init_mem_0,900,CPU,4,3600,200,0.54350899,0.346369,0.28674933630737987,0.7196557521820068,0.5164146423339844,0.3241786343991748,0.17614676218200687,0.14865476037597658,0.053746234752484634
npb-3.3-CG-init_mem_1,100,CPU,4,800,200,0.53383594,0.3830595,0.26389759948674635,0.7363736629486084,0.5452632904052734,0.45336972245735296,0.20253772294860842,0.1609877155761719,0.20687483849773974
npb-3.3-CG-init_mem_1,200,CPU,4,1600,200,0.5130705449999999,0.3610145,0.24747054758148795,0.6893062591552734,0.523686408996582,0.2903338250007437,0.17623571415527345,0.14871459533691408,0.05956555013025869
npb-3.3-CG-init_mem_1,300,CPU,4,2400,200,0.48599742999999995,0.399402,0.13155259473469508,0.6678009033203125,0.545501708984375,0.1830551115290291,0.18180347332031252,0.14704625488281253,0.06664508912285887
npb-3.3-CG-init_mem_1,400,CPU,4,3200,200,0.5144828,0.391286,0.16710596644887998,0.6921482086181641,0.5573034286499023,0.19775546682012646,0.17766540861816407,0.15627049890136718,0.04741515933845684
npb-3.3-CG-init_mem_1,500,CPU,4,4000,200,0.5512377549999999,0.409284,0.22366459616145495,0.8024740219116211,0.5943775177001953,1.5896892857426792,0.2512362669116211,0.1587133139038086,1.4134265769539445
npb-3.3-CG-init_mem_1,600,CPU,4,4800,200,0.5903105799999999,0.40853399999999995,0.28382167712833356,0.7854640483856201,0.5884170532226562,0.32787220728636157,0.19515346838562014,0.16978103033447267,0.062030061005853086
npb-3.3-CG-init_mem_1,700,CPU,4,5600,200,0.545603615,0.406119,0.18531939040820675,0.7197928428649902,0.5670785903930664,0.23229912978308676,0.17418922786499025,0.14635846234130861,0.05949479569895821
npb-3.3-CG-init_mem_1,800,CPU,4,6400,200,0.55172365,0.38637049999999995,0.22180073345570747,0.7396101951599121,0.5664825439453125,0.26029394788906757,0.18788654515991213,0.16300957012939454,0.05298705550864111
npb-3.3-CG-init_mem_1,900,CPU,4,7200,200,0.5028072849999999,0.398041,0.12574553119774376,0.6896281242370605,0.5698204040527344,0.16677861707989905,0.18682083923706058,0.1634480237426758,0.055814427170326815
npb-3.3-CG-main_1,100,CPU,0,800,200,0.46272519,0.360874,0.17011352428439389,0.6365823745727539,0.5158185958862305,0.22588701140193734,0.17385718457275393,0.14476328881835937,0.06504866508219764
npb-3.3-CG-main_1,200,CPU,0,1600,200,0.49952082,0.381127,0.1603936855428676,0.6724834442138672,0.5463361740112305,0.2143115710850907,0.1729626242138672,0.1411615181274415,0.06914866270295907
npb-3.3-CG-main_1,300,CPU,0,2400,200,0.511936775,0.38133799999999995,0.18818640516287435,0.6940102577209473,0.540614128112793,0.2273909886923775,0.18207348272094728,0.15166057458496096,0.06378576124814948
npb-3.3-CG-main_1,400,CPU,0,3200,200,0.488441545,0.356788,0.17041078657900796,0.6652617454528809,0.5191564559936523,0.22599827297540287,0.17682020045288088,0.14391897509765628,0.07303281886892406
npb-3.3-CG-main_1,500,CPU,0,4000,200,0.5489791399999999,0.39354999999999996,0.20735905710650038,0.7371222972869873,0.5712509155273438,0.26046015101286457,0.18814315728698733,0.15669032464599617,0.0735398617868626
npb-3.3-CG-main_1,600,CPU,0,4800,200,0.438189925,0.356734,0.09928861157915936,0.6087100505828857,0.5110502243041992,0.1596741209240804,0.17052012558288576,0.1396516450805664,0.07429602934170212
npb-3.3-CG-main_1,700,CPU,0,5600,200,0.518329155,0.417332,0.19242158950465096,0.696333646774292,0.5676746368408203,0.23754879360780023,0.178004491774292,0.15197117291259768,0.057945755411848196
npb-3.3-CG-main_1,800,CPU,0,6400,200,0.5798025849999999,0.37396599999999997,0.3318326087415827,0.7550334930419922,0.538945198059082,0.3678823841482881,0.1752309080419922,0.14451884619140626,0.052254595794858215
npb-3.3-CG-main_1,900,CPU,0,7200,200,0.528763195,0.4001865,0.18339579476009696,0.709148645401001,0.5649328231811523,0.22959503250916669,0.180385450401001,0.15443820794677737,0.062232568812115585
npb-3.3-CG-main_2,100,CPU,4,3200,200,0.5300095499999999,0.3739675,0.26022366879840747,0.7550656795501709,0.5173683166503906,1.6059940466206513,0.22505612955017093,0.13879133801269533,1.2519287587369727
npb-3.3-CG-main_2,200,CPU,4,6400,200,0.6038672949999999,0.4379605,0.25916386578984796,0.7993173599243164,0.6242990493774414,0.31643149347928556,0.19545006492431644,0.16779460229492188,0.07220819354681107
npb-3.3-CG-main_2,300,CPU,4,9600,200,0.620391225,0.428121,0.32361154021499433,0.8120393753051758,0.5928277969360352,0.3905407263800953,0.19164815030517582,0.1647209982299805,0.06464936275049471
npb-3.3-CG-main_2,400,CPU,4,12800,200,0.57104082,0.3937965,0.2587044357875476,0.8518350124359131,0.5437135696411133,3.4877403154482067,0.28079419243591314,0.14095830212402344,3.3102666066525765
npb-3.3-CG-main_2,500,CPU,4,16000,200,0.58619398,0.45883799999999997,0.19721791061055957,0.7704925537109375,0.6173849105834961,0.224983373732357,0.18429857371093752,0.16242477850341802,0.04547609342275439
npb-3.3-CG-main_2,600,CPU,4,19200,200,0.5881789,0.44268199999999996,0.20891697514014,0.8356118202209473,0.616908073425293,1.4386265817108779,0.2474329202209473,0.15771663195800784,1.2820315024548654
npb-3.3-CG-main_2,700,CPU,4,22400,200,0.584862205,0.43255999999999994,0.20578459207421296,0.769345760345459,0.5949735641479492,0.2669423601616927,0.18448355534545902,0.16012835260009767,0.05063275880755619
npb-3.3-CG-main_2,800,CPU,4,25600,200,0.5814579799999999,0.434002,0.20633923437895957,0.7612419128417969,0.5943775177001953,0.29793676762892574,0.1797839328417969,0.15242287231445314,0.052418892510052086
npb-3.3-CG-main_2,900,CPU,4,28800,200,0.56711642,0.44612799999999997,0.1736773059233236,0.8683443069458008,0.6189346313476562,3.54978321922772,0.3012278869458008,0.16208054992675783,3.4568087985079576
npb-3.3-CG-makea_7,100,CPU,808,400,200,0.547712875,0.406686,0.24165993816658934,0.7817673683166504,0.5480051040649414,1.6433505333623089,0.23405449331665043,0.1391424729614258,1.473416692817937
npb-3.3-CG-makea_7,200,CPU,1608,800,200,0.515109265,0.4001335,0.17869019655144475,0.6903266906738281,0.5524158477783203,0.23128870716391248,0.17521742567382814,0.1416961046142579,0.06861024220279163
