kernel,gsize,device,input_bytes,output_bytes,samples,device_mean,device_median,device_var,hostcode_mean,hostcode_median,hostcode_var,transfer_mean,transfer_median,transfer_var
amd-app-sdk-3.0-FloydWarshall-floydWarshallPass,100,NvidiaA100,408,800,200,0.01141248,0.010239999999999999,5.572106649599999e-06,0.17349720001220703,0.13554096221923828,0.002756964931904804,0.16208472001220703,0.1261705900878906,0.0025347057397262793
amd-app-sdk-3.0-FloydWarshall-floydWarshallPass,200,NvidiaA100,808,1600,200,0.01125376,0.010239999999999999,5.158889062399999e-06,0.17038345336914062,0.13506412506103516,0.002553268268457032,0.15912969336914062,0.12513286932373047,0.002352420614550682
amd-app-sdk-3.0-FloydWarshall-floydWarshallPass,300,NvidiaA100,1208,2400,200,0.00925696,0.009216,1.1202985983999998e-06,0.1321268081665039,0.13065338134765625,0.00013224607755546458,0.1228698481665039,0.12160547424316406,0.0001214143253726146
amd-app-sdk-3.0-FloydWarshall-floydWarshallPass,400,NvidiaA100,1608,3200,200,0.00922624,0.009216,9.855565823999999e-07,0.1309490203857422,0.12969970703125,0.00014183583516569342,0.12172278038574219,0.12072212561035156,0.00013253447768559343
amd-app-sdk-3.0-FloydWarshall-floydWarshallPass,500,NvidiaA100,2008,4000,200,0.009856,0.010239999999999999,1.4411366399999991e-06,0.13274788856506348,0.13136863708496094,0.00015191055666718967,0.12289188856506347,0.12160547424316406,0.0001419970180142209
amd-app-sdk-3.0-FloydWarshall-floydWarshallPass,600,NvidiaA100,2408,4800,200,0.0097792,0.009216,8.991539199999993e-07,0.13598203659057617,0.13387203216552734,0.00026699680688579974,0.12620283659057618,0.12422807861328125,0.0002577580213526747
amd-app-sdk-3.0-FloydWarshall-floydWarshallPass,700,NvidiaA100,2808,5600,200,0.0100608,0.010239999999999999,4.764467199999996e-07,0.1429736614227295,0.141143798828125,0.00024362972084190915,0.13291286142272948,0.130903798828125,0.00024129214168300283
amd-app-sdk-3.0-MatrixMultiplication-mmmKernel,100,NvidiaA100,3208,1600,200,0.019824639999999998,0.019455999999999998,4.24467759104e-05,0.17122983932495117,0.1537799835205078,0.0018848779689051298,0.15140519932495117,0.1333059829711914,0.00165053441278428
amd-app-sdk-3.0-MatrixMultiplication-mmmKernel,200,NvidiaA100,6408,3200,200,0.03204608,0.032768,0.00015621472911359999,0.16640782356262207,0.16677379608154297,0.0003555586417292034,0.13436174356262207,0.1327039370727539,0.00015696120043264713
amd-app-sdk-3.0-MatrixMultiplication-mmmKernel,300,NvidiaA100,9608,4800,200,0.0402432,0.041471999999999995,0.00030192697344,0.18126726150512695,0.17690658569335938,0.0012587523713136761,0.14102406150512695,0.13452551739501956,0.0008118570791286761
amd-app-sdk-3.0-MatrixMultiplication-mmmKernel,400,NvidiaA100,12808,6400,200,0.052956159999999995,0.054272,0.0005503595577343999,0.18820762634277344,0.18846988677978516,0.0007102306653905543,0.13525146634277344,0.1339697452392578,0.00013669178562495437
amd-app-sdk-3.0-MatrixMultiplication-mmmKernel,500,NvidiaA100,16008,8000,200,0.0644864,0.064512,0.0010565497651199999,0.20151257514953613,0.20134449005126953,0.0013061272156278392,0.13702617514953613,0.1348144873046875,0.000139324868931433
amd-app-sdk-3.0-MatrixMultiplication-mmmKernel,600,NvidiaA100,19208,9600,200,0.06970367999999999,0.069632,0.0011904536805376,0.20755290985107422,0.20694732666015625,0.001271165410798858,0.13784922985107423,0.13655463104248047,8.438657180520791e-05
amd-app-sdk-3.0-MatrixMultiplication-mmmKernel,700,NvidiaA100,22408,11200,200,0.08477184,0.080384,0.0019593049145344,0.22395014762878418,0.21898746490478516,0.0020839818134277266,0.1391783076287842,0.13766517907714845,0.00011986254583322035
amd-app-sdk-3.0-SimpleConvolution-simpleNonSeparableConvolution,100,NvidiaA100,820,400,200,0.18002943999999999,0.132096,0.022169018852966398,0.3455841541290283,0.3159046173095703,0.02477116707808591,0.16555471412902834,0.13756918786621092,0.002512636053122622
