kernel,gsize,device,input_bytes,output_bytes,samples,device_mean,device_median,device_var,hostcode_mean,hostcode_median,hostcode_var,transfer_mean,transfer_median,transfer_var
amd-app-sdk-3.0-BinomialOption-binomial_options,1000,Tesla_V100_SXM2_32GB,48004,48000,200,0.03780096,0.011264,0.0016986069008383998,0.2891075611114502,0.27430057525634766,0.009499195753903678,0.2513066011114502,0.2570657796020508,0.007811656939410046
amd-app-sdk-3.0-PrefixSum-group_prefixSum,1000,Tesla_V100_SXM2_32GB,8008,8000,200,0.00914976,0.009216,1.1015425023999998e-06,0.2089977264404297,0.19860267639160156,0.0022988314185568015,0.19984796644042968,0.1897794671020508,0.0022459281087642796
amd-app-sdk-3.0-Reduction-reduce,1000,Tesla_V100_SXM2_32GB,32000,32000,200,0.00818176,0.008192,2.9673652223999995e-06,0.20715951919555664,0.19502639770507812,0.006499317800034987,0.19897775919555663,0.18707281628417968,0.006250601132054263
amd-app-sdk-3.0-Reduction-reduce,3000,Tesla_V100_SXM2_32GB,96000,96000,200,0.00846336,0.008192,1.1479547903999996e-06,0.23635149002075195,0.21696090698242188,0.004000684788252329,0.22788813002075195,0.20900732556152343,0.003915242142456791
amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays,1000,Tesla_V100_SXM2_32GB,8004,12000,200,0.00940032,0.009216,3.373898137599999e-06,0.23088693618774414,0.21255016326904297,0.00933982857418414,0.22148661618774415,0.2036917911376953,0.009053009015290488
amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays,3000,Tesla_V100_SXM2_32GB,24004,36000,200,0.008709119999999999,0.008192,1.2792365056000004e-06,0.21788716316223145,0.21183490753173828,0.0017920764193490868,0.20917804316223143,0.2030116982421875,0.0017358077676710932
amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays,5000,Tesla_V100_SXM2_32GB,40004,60000,200,0.00862208,0.008192,5.804916736000002e-07,0.2237081527709961,0.2200603485107422,0.0008997761824502959,0.2150860727709961,0.2113211856689453,0.000867444564748896
amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays,7000,Tesla_V100_SXM2_32GB,56004,84000,200,0.00876032,0.008192,7.308312576000001e-07,0.23434042930603027,0.22745132446289062,0.0010477449436052666,0.22558010930603026,0.21910495233154298,0.001020170953085523
amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays,9000,Tesla_V100_SXM2_32GB,72004,108000,200,0.00887808,0.009216,5.254414336000002e-07,0.23877382278442383,0.23412704467773438,0.0011076605176185694,0.22989574278442382,0.22521978894042968,0.0010756143281927942
amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays,11000,Tesla_V100_SXM2_32GB,88004,132000,200,0.00934896,0.009216,5.800150783999997e-07,0.26837706565856934,0.24628639221191406,0.051192480781026006,0.2590281056585693,0.23718960150146484,0.05112913091825102
amd-app-sdk-3.0-ScanLargeArrays-blockAddition,1000,Tesla_V100_SXM2_32GB,8000,4000,200,0.0077824,0.007168,6.627000319999998e-06,0.19155263900756836,0.1766681671142578,0.004132557768343759,0.18377023900756836,0.1695001671142578,0.0038882267608512594
amd-app-sdk-3.0-ScanLargeArrays-blockAddition,3000,Tesla_V100_SXM2_32GB,24000,12000,200,0.00722944,0.007168,1.1706302463999998e-06,0.18465042114257812,0.1779794692993164,0.0007888331538197235,0.17742098114257812,0.17096584143066407,0.0007723493895348734
amd-app-sdk-3.0-ScanLargeArrays-blockAddition,5000,Tesla_V100_SXM2_32GB,40000,20000,200,0.00820224,0.008192,3.8691405823999994e-06,0.22075533866882324,0.21541118621826172,0.002631510811568205,0.21255309866882324,0.20737355834960935,0.0024777330527365428
amd-app-sdk-3.0-ScanLargeArrays-blockAddition,7000,Tesla_V100_SXM2_32GB,56000,28000,200,0.00722944,0.007168,9.084862463999997e-07,0.19670963287353516,0.19121170043945312,0.0005531323040486313,0.18948019287353515,0.1841629097290039,0.0005310591496700314
amd-app-sdk-3.0-ScanLargeArrays-blockAddition,9000,Tesla_V100_SXM2_32GB,72000,36000,200,0.00821232,0.008192,1.3833848576e-06,0.23786187171936035,0.2473592758178711,0.0010739832291051243,0.22964955171936036,0.238739322265625,0.0010271106519723682
amd-app-sdk-3.0-ScanLargeArrays-blockAddition,11000,Tesla_V100_SXM2_32GB,88000,44000,200,0.00712704,0.007168,1.5711862783999993e-06,0.22475957870483398,0.20039081573486328,0.0679650273639254,0.21763253870483398,0.1936156064453125,0.06745879903848505
amd-app-sdk-3.0-ScanLargeArrays-blockAddition,13000,Tesla_V100_SXM2_32GB,104000,52000,200,0.00761872,0.007168,1.0233730816e-06,0.22880792617797852,0.2180337905883789,0.002072499336236433,0.22118920617797852,0.21113937200927735,0.002031231428953043
