kernel,gsize,device,input_bytes,output_bytes,samples,device_mean,device_median,device_var,hostcode_mean,hostcode_median,hostcode_var,transfer_mean,transfer_median,transfer_var
amd-app-sdk-3.0-BinomialOption-binomial_options,1000,QuadroM4000,48004,48000,200,0.10911024,0.03779199999999999,0.013768378554342398,0.31348586082458496,0.2523660659790039,0.01637044726834347,0.20437562082458496,0.19513278442382814,0.001903126500557573
amd-app-sdk-3.0-BinomialOption-binomial_options,1000,TeslaK40,48004,48000,200,0.11841375999999999,0.040735999999999994,0.016193988357222397,0.33313512802124023,0.27382373809814453,0.020435308391597573,0.21472136802124026,0.2008441451416016,0.003141029477396633
amd-app-sdk-3.0-PrefixSum-group_prefixSum,1000,QuadroM4000,8008,8000,200,0.01266,0.013184,4.2458976e-06,0.2003180980682373,0.19228458404541016,0.0014078777311965496,0.1876580980682373,0.17925900262451172,0.0013453342592134195
amd-app-sdk-3.0-PrefixSum-group_prefixSum,1000,TeslaK40,8008,8000,200,0.014832,0.015743999999999998,9.45595392e-06,0.2021312713623047,0.19657611846923828,0.0013723825986744487,0.18729927136230468,0.1820970020751953,0.0013208200284245267
amd-app-sdk-3.0-Reduction-reduce,1000,QuadroM4000,32000,32000,200,0.00995664,0.009792,2.6718863104e-06,0.20090460777282715,0.19121170043945312,0.008977016589994946,0.19094796777282716,0.18143570043945312,0.008676671202974658
amd-app-sdk-3.0-Reduction-reduce,1000,TeslaK40,32000,32000,200,0.00979376,0.009632,8.440954624000001e-07,0.2041327953338623,0.19669532775878906,0.0013719805437517607,0.1943390353338623,0.18704732775878907,0.0013355696301351812
amd-app-sdk-3.0-Reduction-reduce,3000,QuadroM4000,96000,96000,200,0.01021744,0.010112,6.713016064e-07,0.22678732872009277,0.22101402282714844,0.0013021519166045437,0.21656988872009278,0.21090202282714843,0.0012502589546763978
amd-app-sdk-3.0-Reduction-reduce,3000,TeslaK40,96000,96000,200,0.0108376,0.011072,7.354156799999999e-07,0.2334153652191162,0.2276897430419922,0.0010764031671328667,0.2225777652191162,0.21668895233154295,0.0010370504652133792
amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays,1000,QuadroM4000,8004,12000,200,0.01173456,0.011792,1.3024440064e-06,0.20276784896850586,0.1976490020751953,0.0014609002562337992,0.19103328896850585,0.1859602113647461,0.0013996854784079239
amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays,1000,TeslaK40,8004,12000,200,0.0124736,0.012256,3.4180198399999997e-06,0.22578120231628418,0.20563602447509766,0.004283538997640335,0.21330760231628418,0.19306793157958985,0.004119741380273304
amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays,3000,QuadroM4000,24004,36000,200,0.012532159999999999,0.012511999999999999,1.7391033343999997e-06,0.21245360374450684,0.2071857452392578,0.0013690496402318786,0.19992144374450685,0.19447858239746094,0.0013102456046807807
amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays,3000,TeslaK40,24004,36000,200,0.012702719999999999,0.012416,1.7694191616e-06,0.21516203880310059,0.2105236053466797,0.001127329367989205,0.20245931880310059,0.19778197747802734,0.0010742341600756098
amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays,5000,QuadroM4000,40004,60000,200,0.014194559999999998,0.014431999999999999,1.0942500864e-06,0.22253870964050293,0.217437744140625,0.0013412135885459975,0.20834414964050293,0.20283695343017577,0.001289730539132886
amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays,5000,TeslaK40,40004,60000,200,0.01370544,0.013264,1.5007928063999997e-06,0.2278602123260498,0.2231597900390625,0.0012864753543340157,0.2141547723260498,0.20949895288085937,0.0012463096726073345
amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays,7000,QuadroM4000,56004,84000,200,0.01583888,0.016064,1.4060070655999999e-06,0.23705244064331055,0.2315044403076172,0.001598730653995517,0.22121356064331055,0.2160452774658203,0.001534838360127279
amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays,7000,TeslaK40,56004,84000,200,0.01991616,0.020479999999999998,1.3468831743999998e-06,0.2445840835571289,0.2391338348388672,0.0012245283414813457,0.22466792355712892,0.21949867199707032,0.0011781575092016444
amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays,9000,QuadroM4000,72004,108000,200,0.021095199999999998,0.02128,3.176974719999999e-06,0.253140926361084,0.24771690368652344,0.0013570893031555897,0.23204572636108398,0.22644885723876954,0.0012920115590950721
amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays,9000,TeslaK40,72004,108000,200,0.027279039999999997,0.027392,5.5877417983999995e-06,0.2644813060760498,0.2593994140625,0.001225219294553881,0.2372022660760498,0.23157136761474612,0.0011649304654599468
