"kernel","gsize","device","input_bytes","output_bytes","device_mean","transfer_mean","machine","hostcode_mean","devicetransfer","#device"
"amd-app-sdk-3.0-SobelFilter-sobel_filter","11000","NvidiaA100","44000","44000","0.00848384","0.1440587510949707","epyc7","0.1525425910949707","0.1525425910949707","1"
"amd-app-sdk-3.0-SobelFilter-sobel_filter","13000","NvidiaA100","52000","52000","0.00769536","0.1340802480627441","epyc7","0.1417756080627441","0.1417756080627441","1"
"amd-app-sdk-3.0-SobelFilter-sobel_filter","15000","NvidiaA100","60000","60000","0.00722432","0.1309356703106689","epyc7","0.1381599903106689","0.1381599903106689","1"
"amd-app-sdk-3.0-SobelFilter-sobel_filter","17000","NvidiaA100","68000","68000","0.00849408","0.1491768947314453","epyc7","0.1576709747314453","0.1576709747314452","1"
"amd-app-sdk-3.0-SobelFilter-sobel_filter","19000","NvidiaA100","76000","76000","0.0078950399999999","0.1391055112237549","epyc7","0.1470005512237548","0.1470005512237548","1"
"npb-3.3-BT-add","1000","NvidiaA100","16012","8000","0.0107059199999999","0.1679530422497558","epyc7","0.1786589622497558","0.1786589622497557","1"
"npb-3.3-BT-add","3000","NvidiaA100","48012","24000","0.008832","0.1319160239868164","epyc7","0.1407480239868164","0.1407480239868164","1"
"npb-3.3-BT-add","5000","NvidiaA100","80012","40000","0.0083712","0.1337143522155761","epyc7","0.1420855522155761","0.1420855522155761","1"
"npb-3.3-BT-add","7000","NvidiaA100","112012","56000","0.00843264","0.136530624465332","epyc7","0.144963264465332","0.144963264465332","1"
"npb-3.3-BT-add","9000","NvidiaA100","144012","72000","0.00829952","0.1390765404858398","epyc7","0.1473760604858398","0.1473760604858398","1"
"npb-3.3-BT-add","11000","NvidiaA100","176012","88000","0.0074854399999999","0.1382491085687255","epyc7","0.1457345485687255","0.1457345485687254","1"
"npb-3.3-BT-add","13000","NvidiaA100","208012","104000","0.00741376","0.1395975200598144","epyc7","0.1470112800598144","0.1470112800598144","1"
"npb-3.3-BT-add","15000","NvidiaA100","240012","120000","0.00725504","0.1450336353082275","epyc7","0.1522886753082275","0.1522886753082274","1"
"npb-3.3-BT-add","17000","NvidiaA100","272012","136000","0.00876032","0.1570264231640624","epyc7","0.1657867431640625","0.1657867431640624","1"
"npb-3.3-BT-add","19000","NvidiaA100","304012","152000","0.0069888","0.158116066027832","epyc7","0.165104866027832","0.1651048660278319","1"
"npb-3.3-BT-compute_rhs1","1000","NvidiaA100","8012","48000","0.00913408","0.2038380841540527","epyc7","0.2129721641540527","0.2129721641540526","1"
"npb-3.3-BT-compute_rhs1","3000","NvidiaA100","24012","144000","0.00851968","0.1944412880175781","epyc7","0.2029609680175781","0.2029609680175781","1"
"npb-3.3-BT-compute_rhs1","5000","NvidiaA100","40012","240000","0.00883712","0.214025838908081","epyc7","0.222862958908081","0.222862958908081","1"
"npb-3.3-BT-compute_rhs1","7000","NvidiaA100","56012","336000","0.00820224","0.2162354736230468","epyc7","0.2244377136230468","0.2244377136230468","1"
"npb-3.3-BT-compute_rhs1","9000","NvidiaA100","72012","432000","0.008576","0.2320741770019531","epyc7","0.2406501770019531","0.2406501770019531","1"
"npb-3.3-BT-compute_rhs1","11000","NvidiaA100","88012","528000","0.00865792","0.2492692593365478","epyc7","0.2579271793365478","0.2579271793365478","1"
"npb-3.3-BT-compute_rhs1","13000","NvidiaA100","104012","624000","0.00849408","0.2572329631518554","epyc7","0.2657270431518554","0.2657270431518554","1"
"npb-3.3-BT-compute_rhs1","15000","NvidiaA100","120012","720000","0.00804864","0.2646366493829346","epyc7","0.2726852893829345","0.2726852893829345","1"
"npb-3.3-BT-compute_rhs1","17000","NvidiaA100","136012","816000","0.00779776","0.2775761661627197","epyc7","0.2853739261627197","0.2853739261627196","1"
"npb-3.3-BT-compute_rhs1","19000","NvidiaA100","152012","912000","0.00687616","0.2859817253607178","epyc7","0.2928578853607178","0.2928578853607178","1"
"npb-3.3-BT-compute_rhs2","1000","NvidiaA100","8012","8000","0.009216","0.1602471576538086","epyc7","0.1694631576538086","0.1694631576538086","1"
"npb-3.3-BT-compute_rhs2","3000","NvidiaA100","24012","24000","0.00881664","0.1330400303796386","epyc7","0.1418566703796386","0.1418566703796386","1"
"npb-3.3-BT-compute_rhs2","5000","NvidiaA100","40012","40000","0.00894464","0.1363524104760742","epyc7","0.1452970504760742","0.1452970504760742","1"
"npb-3.3-BT-compute_rhs2","7000","NvidiaA100","56012","56000","0.01008128","0.1646282784869384","epyc7","0.1747095584869384","0.1747095584869384","1"
"npb-3.3-BT-compute_rhs2","9000","NvidiaA100","72012","72000","0.0081663999999999","0.1382035340820312","epyc7","0.1463699340820312","0.1463699340820311","1"
"npb-3.3-BT-compute_rhs2","11000","NvidiaA100","88012","88000","0.00849408","0.162256537980957","epyc7","0.170750617980957","0.1707506179809569","1"
"npb-3.3-BT-compute_rhs2","13000","NvidiaA100","104012","104000","0.00968192","0.1698329649487304","epyc7","0.1795148849487304","0.1795148849487304","1"
"npb-3.3-BT-compute_rhs2","15000","NvidiaA100","120012","120000","0.00875008","0.1537739049090576","epyc7","0.1625239849090576","0.1625239849090576","1"
"npb-3.3-BT-compute_rhs2","17000","NvidiaA100","136012","136000","0.00830976","0.1693323470098877","epyc7","0.1776421070098877","0.1776421070098877","1"
"npb-3.3-BT-compute_rhs2","19000","NvidiaA100","152012","152000","0.00886784","0.1597978075067138","epyc7","0.1686656475067138","0.1686656475067137","1"
"npb-3.3-BT-compute_rhs3","1000","NvidiaA100","64012","8000","0.29128704","0.2198239810418701","epyc7","0.5111110210418701","0.5111110210418701","1"
"npb-3.3-BT-compute_rhs3","3000","NvidiaA100","192012","24000","0.7000832","0.2011724076049805","epyc7","0.9012556076049804","0.9012556076049804","1"
"npb-3.3-BT-compute_rhs4","1000","NvidiaA100","64012","8000","0.09212928","0.2113179665515136","epyc7","0.3034472465515136","0.3034472465515136","1"
"npb-3.3-BT-compute_rhs4","3000","NvidiaA100","192012","24000","0.15389184","0.2045287704278564","epyc7","0.3584206104278564","0.3584206104278564","1"
"npb-3.3-BT-compute_rhs6","1000","NvidiaA100","8012","8000","0.01009152","0.1597447627301025","epyc7","0.1698362827301025","0.1698362827301024","1"
"npb-3.3-BT-compute_rhs6","3000","NvidiaA100","24012","24000","0.00800768","0.1153465165484619","epyc7","0.1233541965484619","0.1233541965484619","1"
"npb-3.3-BT-compute_rhs6","5000","NvidiaA100","40012","40000","0.00751104","0.1142493283471679","epyc7","0.1217603683471679","0.1217603683471679","1"
"npb-3.3-BT-compute_rhs6","7000","NvidiaA100","56012","56000","0.00749056","0.1158147607397461","epyc7","0.1233053207397461","0.1233053207397461","1"
"npb-3.3-BT-compute_rhs6","9000","NvidiaA100","72012","72000","0.00983552","0.1492850396923828","epyc7","0.1591205596923828","0.1591205596923828","1"
