"kernel","gsize","device","input_bytes","output_bytes","device_mean","transfer_mean","machine","hostcode_mean","devicetransfer","#device","#machine"
"shoc-1.1.5-S3D-rdwdot_kernel","1000","NvidiaA100","12004","4000","0.01360896","0.171174975546875","epyc7","0.184783935546875","0.184783935546875","1","7"
"shoc-1.1.5-S3D-rdwdot_kernel","3000","NvidiaA100","36004","12000","0.01363968","0.1472272957843017","epyc7","0.1608669757843017","0.1608669757843016","1","7"
"shoc-1.1.5-S3D-rdwdot_kernel","5000","NvidiaA100","60004","20000","0.0138086399999999","0.1504188456567383","epyc7","0.1642274856567382","0.1642274856567382","1","7"
"shoc-1.1.5-S3D-rdwdot_kernel","7000","NvidiaA100","84004","28000","0.01362944","0.1538584197259521","epyc7","0.1674878597259521","0.1674878597259521","1","7"
"shoc-1.1.5-S3D-rdwdot_kernel","9000","NvidiaA100","108004","36000","0.0137983999999999","0.1579225815979004","epyc7","0.1717209815979004","0.1717209815979003","1","7"
"shoc-1.1.5-S3D-rdwdot_kernel","11000","NvidiaA100","132004","44000","0.0137728","0.1617187714263916","epyc7","0.1754915714263916","0.1754915714263916","1","7"
"shoc-1.1.5-S3D-rdwdot_kernel","13000","NvidiaA100","156004","52000","0.01289728","0.1629435746447754","epyc7","0.1758408546447754","0.1758408546447754","1","7"
"shoc-1.1.5-S3D-rdwdot_kernel","15000","NvidiaA100","180004","60000","0.01423872","0.1828917216656494","epyc7","0.1971304416656494","0.1971304416656494","1","7"
"shoc-1.1.5-S3D-rdwdot_kernel","17000","NvidiaA100","204004","68000","0.0141363199999999","0.1909000817486572","epyc7","0.2050364017486572","0.2050364017486571","1","7"
"shoc-1.1.5-S3D-rdwdot_kernel","19000","NvidiaA100","228004","76000","0.01418752","0.1960213728222656","epyc7","0.2102088928222656","0.2102088928222656","1","7"
"shoc-1.1.5-S3D-rdwdot_kernel","1000","Tesla_V100_SXM2_32GB","12004","4000","0.0101736","0.1992187091888427","silver1","0.2093923091888427","0.2093923091888427","1","1"
"shoc-1.1.5-S3D-rdwdot_kernel","3000","Tesla_V100_SXM2_32GB","36004","12000","0.00924176","0.2028232214605712","silver1","0.2120649814605713","0.2120649814605711","1","1"
"shoc-1.1.5-S3D-rdwdot_kernel","5000","Tesla_V100_SXM2_32GB","60004","20000","0.00941056","0.2147648931860351","silver1","0.2241754531860351","0.2241754531860351","1","1"
"shoc-1.1.5-S3D-rdwdot_kernel","7000","Tesla_V100_SXM2_32GB","84004","28000","0.00918528","0.2215180738818359","silver1","0.2307033538818359","0.2307033538818358","1","1"
"shoc-1.1.5-S3D-rdwdot_kernel","9000","Tesla_V100_SXM2_32GB","108004","36000","0.00962544","0.2345402189508056","silver1","0.2441656589508056","0.2441656589508056","1","1"
"shoc-1.1.5-S3D-rdwdot_kernel","11000","Tesla_V100_SXM2_32GB","132004","44000","0.0097536","0.2477766124023437","silver1","0.2575302124023437","0.2575302124023437","1","1"
"shoc-1.1.5-S3D-rdwdot_kernel","13000","Tesla_V100_SXM2_32GB","156004","52000","0.00994304","0.2697410267724609","silver1","0.2796840667724609","0.2796840667724609","1","1"
"shoc-1.1.5-S3D-rdwdot_kernel","15000","Tesla_V100_SXM2_32GB","180004","60000","0.00940032","0.259001779609375","silver1","0.268402099609375","0.268402099609375","1","1"
