"kernel","gsize","device","input_bytes","output_bytes","device_mean","transfer_mean","machine","hostcode_mean","devicetransfer","#device"
"amd-app-sdk-3.0-BinomialOption-binomial_options","1000","GeForceGTX","48004","48000","0.04612128","0.2509208514239502","gold2","0.2970421314239502","0.2970421314239502","1"
"amd-app-sdk-3.0-PrefixSum-group_prefixSum","1000","GeForceGTX","8008","8000","0.0107611199999999","0.2922593572949218","gold2","0.3030204772949219","0.3030204772949217","1"
"amd-app-sdk-3.0-Reduction-reduce","1000","GeForceGTX","32000","32000","0.0101801599999999","0.2305808816412353","gold2","0.2407610416412353","0.2407610416412352","1"
"amd-app-sdk-3.0-Reduction-reduce","3000","GeForceGTX","96000","96000","0.00924256","0.3060374006323242","gold2","0.3152799606323242","0.3152799606323242","1"
"amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays","1000","GeForceGTX","8004","12000","0.01000368","0.311888819923706","gold2","0.321892499923706","0.321892499923706","1"
"amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays","3000","GeForceGTX","24004","36000","0.01119504","0.3436838624353027","gold2","0.3548789024353027","0.3548789024353027","1"
"amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays","5000","GeForceGTX","40004","60000","0.0110104","0.3146789157958984","gold2","0.3256893157958984","0.3256893157958984","1"
"amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays","7000","GeForceGTX","56004","84000","0.01185136","0.3268579944006348","gold2","0.3387093544006347","0.3387093544006347","1"
"amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays","9000","GeForceGTX","72004","108000","0.0151247999999999","0.274343965258789","gold2","0.289468765258789","0.2894687652587889","1"
"amd-app-sdk-3.0-ScanLargeArrays-ScanLargeArrays","11000","GeForceGTX","88004","132000","0.01804768","0.3350061282122802","gold2","0.3530538082122803","0.3530538082122802","1"
"amd-app-sdk-3.0-ScanLargeArrays-blockAddition","1000","GeForceGTX","8000","4000","0.0106159999999999","0.1987095519866943","gold2","0.2093255519866943","0.2093255519866942","1"
"amd-app-sdk-3.0-ScanLargeArrays-blockAddition","3000","GeForceGTX","24000","12000","0.00964816","0.2644616803930664","gold2","0.2741098403930664","0.2741098403930664","1"
"amd-app-sdk-3.0-ScanLargeArrays-blockAddition","5000","GeForceGTX","40000","20000","0.0089687999999999","0.2868788543426513","gold2","0.2958476543426513","0.2958476543426512","1"
